life,LMP,Temperature,Stress,C,Si,Mn,P,S,Cr,Mo,W,Ni,Cu,V,Nb,N,Al,O,N_T,N_Time,CR_N,T_T,T_Time
298,28219.06507,723,333,0.14,0.5,0.67,0.027,0.01,11.78,0.18,0.01,0.32,0.21,0.01,0.005,0.0175,0.036,0.01,1243,0.5,2,1023,1
51240,29835.2541,723,294,0.14,0.5,0.67,0.027,0.01,11.78,0.18,0.01,0.32,0.21,0.01,0.005,0.0175,0.036,0.01,1243,0.5,2,1023,1
92775,30021.65929,723,265,0.14,0.5,0.67,0.027,0.01,11.78,0.18,0.01,0.32,0.21,0.01,0.005,0.0175,0.036,0.01,1243,0.5,2,1023,1
120374,30103.43184,723,235,0.14,0.5,0.67,0.027,0.01,11.78,0.18,0.01,0.32,0.21,0.01,0.005,0.0175,0.036,0.01,1243,0.5,2,1023,1
195,30028.21859,773,235,0.14,0.5,0.67,0.027,0.01,11.78,0.18,0.01,0.32,0.21,0.01,0.005,0.0175,0.036,0.01,1243,0.5,2,1023,1
429,30292.91132,773,216,0.14,0.5,0.67,0.027,0.01,11.78,0.18,0.01,0.32,0.21,0.01,0.005,0.0175,0.036,0.01,1243,0.5,2,1023,1
1305,30666.38876,773,196,0.14,0.5,0.67,0.027,0.01,11.78,0.18,0.01,0.32,0.21,0.01,0.005,0.0175,0.036,0.01,1243,0.5,2,1023,1
2313,30858.5296,773,176,0.14,0.5,0.67,0.027,0.01,11.78,0.18,0.01,0.32,0.21,0.01,0.005,0.0175,0.036,0.01,1243,0.5,2,1023,1
5413,31143.96943,773,157,0.14,0.5,0.67,0.027,0.01,11.78,0.18,0.01,0.32,0.21,0.01,0.005,0.0175,0.036,0.01,1243,0.5,2,1023,1
9264,31324.35711,773,137,0.14,0.5,0.67,0.027,0.01,11.78,0.18,0.01,0.32,0.21,0.01,0.005,0.0175,0.036,0.01,1243,0.5,2,1023,1
77055,32035.51887,773,98,0.14,0.5,0.67,0.027,0.01,11.78,0.18,0.01,0.32,0.21,0.01,0.005,0.0175,0.036,0.01,1243,0.5,2,1023,1
164,31908.65345,823,137,0.14,0.5,0.67,0.027,0.01,11.78,0.18,0.01,0.32,0.21,0.01,0.005,0.0175,0.036,0.01,1243,0.5,2,1023,1
582,32361.36857,823,118,0.14,0.5,0.67,0.027,0.01,11.78,0.18,0.01,0.32,0.21,0.01,0.005,0.0175,0.036,0.01,1243,0.5,2,1023,1
2217,32839.40212,823,98,0.14,0.5,0.67,0.027,0.01,11.78,0.18,0.01,0.32,0.21,0.01,0.005,0.0175,0.036,0.01,1243,0.5,2,1023,1
4549,33096.30177,823,88,0.14,0.5,0.67,0.027,0.01,11.78,0.18,0.01,0.32,0.21,0.01,0.005,0.0175,0.036,0.01,1243,0.5,2,1023,1
8906,33336.42581,823,78,0.14,0.5,0.67,0.027,0.01,11.78,0.18,0.01,0.32,0.21,0.01,0.005,0.0175,0.036,0.01,1243,0.5,2,1023,1
39857,33872.05225,823,61,0.14,0.5,0.67,0.027,0.01,11.78,0.18,0.01,0.32,0.21,0.01,0.005,0.0175,0.036,0.01,1243,0.5,2,1023,1
81,33579.7595,873,98,0.14,0.5,0.67,0.027,0.01,11.78,0.18,0.01,0.32,0.21,0.01,0.005,0.0175,0.036,0.01,1243,0.5,2,1023,1
296,34071.08975,873,78,0.14,0.5,0.67,0.027,0.01,11.78,0.18,0.01,0.32,0.21,0.01,0.005,0.0175,0.036,0.01,1243,0.5,2,1023,1
1489,34683.58915,873,61,0.14,0.5,0.67,0.027,0.01,11.78,0.18,0.01,0.32,0.21,0.01,0.005,0.0175,0.036,0.01,1243,0.5,2,1023,1
7065,35273.927,873,47,0.14,0.5,0.67,0.027,0.01,11.78,0.18,0.01,0.32,0.21,0.01,0.005,0.0175,0.036,0.01,1243,0.5,2,1023,1
15309,35567.11066,873,41,0.14,0.5,0.67,0.027,0.01,11.78,0.18,0.01,0.32,0.21,0.01,0.005,0.0175,0.036,0.01,1243,0.5,2,1023,1
0.6,26269.81006,723,373,0.12,0.48,0.71,0.026,0.007,12.37,0.09,0.01,0.31,0.09,0.01,0.005,0.0194,0.038,0.01,1243,0.5,2,1023,1
11.5,27197.09125,723,333,0.12,0.48,0.71,0.026,0.007,12.37,0.09,0.01,0.31,0.09,0.01,0.005,0.0194,0.038,0.01,1243,0.5,2,1023,1
232,28140.45452,723,294,0.12,0.48,0.71,0.026,0.007,12.37,0.09,0.01,0.31,0.09,0.01,0.005,0.0194,0.038,0.01,1243,0.5,2,1023,1
5952,29159.288,723,265,0.12,0.48,0.71,0.026,0.007,12.37,0.09,0.01,0.31,0.09,0.01,0.005,0.0194,0.038,0.01,1243,0.5,2,1023,1
14287,29434.22908,723,235,0.12,0.48,0.71,0.026,0.007,12.37,0.09,0.01,0.31,0.09,0.01,0.005,0.0194,0.038,0.01,1243,0.5,2,1023,1
49487,29824.32379,723,176,0.12,0.48,0.71,0.026,0.007,12.37,0.09,0.01,0.31,0.09,0.01,0.005,0.0194,0.038,0.01,1243,0.5,2,1023,1
50811,29832.61416,723,176,0.12,0.48,0.71,0.026,0.007,12.37,0.09,0.01,0.31,0.09,0.01,0.005,0.0194,0.038,0.01,1243,0.5,2,1023,1
55,29603.32219,773,216,0.12,0.48,0.71,0.026,0.007,12.37,0.09,0.01,0.31,0.09,0.01,0.005,0.0194,0.038,0.01,1243,0.5,2,1023,1
175,29991.89024,773,196,0.12,0.48,0.71,0.026,0.007,12.37,0.09,0.01,0.31,0.09,0.01,0.005,0.0194,0.038,0.01,1243,0.5,2,1023,1
487,30335.48172,773,176,0.12,0.48,0.71,0.026,0.007,12.37,0.09,0.01,0.31,0.09,0.01,0.005,0.0194,0.038,0.01,1243,0.5,2,1023,1
1275,30658.58121,773,157,0.12,0.48,0.71,0.026,0.007,12.37,0.09,0.01,0.31,0.09,0.01,0.005,0.0194,0.038,0.01,1243,0.5,2,1023,1
2513,30886.37063,773,137,0.12,0.48,0.71,0.026,0.007,12.37,0.09,0.01,0.31,0.09,0.01,0.005,0.0194,0.038,0.01,1243,0.5,2,1023,1
19287,31570.53143,773,98,0.12,0.48,0.71,0.026,0.007,12.37,0.09,0.01,0.31,0.09,0.01,0.005,0.0194,0.038,0.01,1243,0.5,2,1023,1
60,31549.25544,823,137,0.12,0.48,0.71,0.026,0.007,12.37,0.09,0.01,0.31,0.09,0.01,0.005,0.0194,0.038,0.01,1243,0.5,2,1023,1
180,31941.92623,823,118,0.12,0.48,0.71,0.026,0.007,12.37,0.09,0.01,0.31,0.09,0.01,0.005,0.0194,0.038,0.01,1243,0.5,2,1023,1
688,32421.17224,823,98,0.12,0.48,0.71,0.026,0.007,12.37,0.09,0.01,0.31,0.09,0.01,0.005,0.0194,0.038,0.01,1243,0.5,2,1023,1
1276,32641.95206,823,88,0.12,0.48,0.71,0.026,0.007,12.37,0.09,0.01,0.31,0.09,0.01,0.005,0.0194,0.038,0.01,1243,0.5,2,1023,1
2896,32934.89717,823,78,0.12,0.48,0.71,0.026,0.007,12.37,0.09,0.01,0.31,0.09,0.01,0.005,0.0194,0.038,0.01,1243,0.5,2,1023,1
11462,33426.60827,823,61,0.12,0.48,0.71,0.026,0.007,12.37,0.09,0.01,0.31,0.09,0.01,0.005,0.0194,0.038,0.01,1243,0.5,2,1023,1
49796,33951.628,823,47,0.12,0.48,0.71,0.026,0.007,12.37,0.09,0.01,0.31,0.09,0.01,0.005,0.0194,0.038,0.01,1243,0.5,2,1023,1
100427,34202.35991,823,41,0.12,0.48,0.71,0.026,0.007,12.37,0.09,0.01,0.31,0.09,0.01,0.005,0.0194,0.038,0.01,1243,0.5,2,1023,1
103,33670.85898,873,78,0.12,0.48,0.71,0.026,0.007,12.37,0.09,0.01,0.31,0.09,0.01,0.005,0.0194,0.038,0.01,1243,0.5,2,1023,1
502,34271.36643,873,61,0.12,0.48,0.71,0.026,0.007,12.37,0.09,0.01,0.31,0.09,0.01,0.005,0.0194,0.038,0.01,1243,0.5,2,1023,1
1760,34746.98464,873,47,0.12,0.48,0.71,0.026,0.007,12.37,0.09,0.01,0.31,0.09,0.01,0.005,0.0194,0.038,0.01,1243,0.5,2,1023,1
4288,35084.6105,873,41,0.12,0.48,0.71,0.026,0.007,12.37,0.09,0.01,0.31,0.09,0.01,0.005,0.0194,0.038,0.01,1243,0.5,2,1023,1
31.4,27512.48684,723,373,0.12,0.21,0.66,0.028,0.003,11.8,0.13,0.01,0.41,0.1,0.01,0.005,0.0393,0.002,0.01,1243,0.5,2,1023,1
306,28227.3833,723,333,0.12,0.21,0.66,0.028,0.003,11.8,0.13,0.01,0.41,0.1,0.01,0.005,0.0393,0.002,0.01,1243,0.5,2,1023,1
17623,29500.12243,723,294,0.12,0.21,0.66,0.028,0.003,11.8,0.13,0.01,0.41,0.1,0.01,0.005,0.0393,0.002,0.01,1243,0.5,2,1023,1
34045,29706.88127,723,265,0.12,0.21,0.66,0.028,0.003,11.8,0.13,0.01,0.41,0.1,0.01,0.005,0.0393,0.002,0.01,1243,0.5,2,1023,1
55868,29862.40565,723,235,0.12,0.21,0.66,0.028,0.003,11.8,0.13,0.01,0.41,0.1,0.01,0.005,0.0393,0.002,0.01,1243,0.5,2,1023,1
92380,30020.31957,723,216,0.12,0.21,0.66,0.028,0.003,11.8,0.13,0.01,0.41,0.1,0.01,0.005,0.0393,0.002,0.01,1243,0.5,2,1023,1
131,29894.67254,773,235,0.12,0.21,0.66,0.028,0.003,11.8,0.13,0.01,0.41,0.1,0.01,0.005,0.0393,0.002,0.01,1243,0.5,2,1023,1
312,30186.00333,773,216,0.12,0.21,0.66,0.028,0.003,11.8,0.13,0.01,0.41,0.1,0.01,0.005,0.0393,0.002,0.01,1243,0.5,2,1023,1
1229,30646.24544,773,196,0.12,0.21,0.66,0.028,0.003,11.8,0.13,0.01,0.41,0.1,0.01,0.005,0.0393,0.002,0.01,1243,0.5,2,1023,1
3478,30995.4696,773,176,0.12,0.21,0.66,0.028,0.003,11.8,0.13,0.01,0.41,0.1,0.01,0.005,0.0393,0.002,0.01,1243,0.5,2,1023,1
11922,31409.0397,773,157,0.12,0.21,0.66,0.028,0.003,11.8,0.13,0.01,0.41,0.1,0.01,0.005,0.0393,0.002,0.01,1243,0.5,2,1023,1
35036,31770.93156,773,137,0.12,0.21,0.66,0.028,0.003,11.8,0.13,0.01,0.41,0.1,0.01,0.005,0.0393,0.002,0.01,1243,0.5,2,1023,1
141691,32240.0094,773,118,0.12,0.21,0.66,0.028,0.003,11.8,0.13,0.01,0.41,0.1,0.01,0.005,0.0393,0.002,0.01,1243,0.5,2,1023,1
169,31919.38772,823,157,0.12,0.21,0.66,0.028,0.003,11.8,0.13,0.01,0.41,0.1,0.01,0.005,0.0393,0.002,0.01,1243,0.5,2,1023,1
551,32341.80472,823,137,0.12,0.21,0.66,0.028,0.003,11.8,0.13,0.01,0.41,0.1,0.01,0.005,0.0393,0.002,0.01,1243,0.5,2,1023,1
2070,32814.88055,823,118,0.12,0.21,0.66,0.028,0.003,11.8,0.13,0.01,0.41,0.1,0.01,0.005,0.0393,0.002,0.01,1243,0.5,2,1023,1
8613,33324.46907,823,98,0.12,0.21,0.66,0.028,0.003,11.8,0.13,0.01,0.41,0.1,0.01,0.005,0.0393,0.002,0.01,1243,0.5,2,1023,1
20108,33627.50954,823,88,0.12,0.21,0.66,0.028,0.003,11.8,0.13,0.01,0.41,0.1,0.01,0.005,0.0393,0.002,0.01,1243,0.5,2,1023,1
31310,33785.78412,823,78,0.12,0.21,0.66,0.028,0.003,11.8,0.13,0.01,0.41,0.1,0.01,0.005,0.0393,0.002,0.01,1243,0.5,2,1023,1
167723,34385.67669,823,61,0.12,0.21,0.66,0.028,0.003,11.8,0.13,0.01,0.41,0.1,0.01,0.005,0.0393,0.002,0.01,1243,0.5,2,1023,1
208,33937.32137,873,98,0.12,0.21,0.66,0.028,0.003,11.8,0.13,0.01,0.41,0.1,0.01,0.005,0.0393,0.002,0.01,1243,0.5,2,1023,1
829,34461.55019,873,78,0.12,0.21,0.66,0.028,0.003,11.8,0.13,0.01,0.41,0.1,0.01,0.005,0.0393,0.002,0.01,1243,0.5,2,1023,1
3569,35015.02522,873,61,0.12,0.21,0.66,0.028,0.003,11.8,0.13,0.01,0.41,0.1,0.01,0.005,0.0393,0.002,0.01,1243,0.5,2,1023,1
14204,35538.70659,873,47,0.12,0.21,0.66,0.028,0.003,11.8,0.13,0.01,0.41,0.1,0.01,0.005,0.0393,0.002,0.01,1243,0.5,2,1023,1
1383,28701.02114,723,333,0.12,0.5,0.61,0.016,0.014,11.64,0.18,0.01,0.43,0.08,0.01,0.005,0.0264,0.044,0.01,1253,0.5,2,923,2
8030,29253.31605,723,294,0.12,0.5,0.61,0.016,0.014,11.64,0.18,0.01,0.43,0.08,0.01,0.005,0.0264,0.044,0.01,1253,0.5,2,923,2
22824,29581.32395,723,265,0.12,0.5,0.61,0.016,0.014,11.64,0.18,0.01,0.43,0.08,0.01,0.005,0.0264,0.044,0.01,1253,0.5,2,923,2
46800,29806.79446,723,235,0.12,0.5,0.61,0.016,0.014,11.64,0.18,0.01,0.43,0.08,0.01,0.005,0.0264,0.044,0.01,1253,0.5,2,923,2
77238,29964.10854,723,216,0.12,0.5,0.61,0.016,0.014,11.64,0.18,0.01,0.43,0.08,0.01,0.005,0.0264,0.044,0.01,1253,0.5,2,923,2
337,30211.87975,773,265,0.12,0.5,0.61,0.016,0.014,11.64,0.18,0.01,0.43,0.08,0.01,0.005,0.0264,0.044,0.01,1253,0.5,2,923,2
1627,30740.42441,773,235,0.12,0.5,0.61,0.016,0.014,11.64,0.18,0.01,0.43,0.08,0.01,0.005,0.0264,0.044,0.01,1253,0.5,2,923,2
3513,30998.83104,773,216,0.12,0.5,0.61,0.016,0.014,11.64,0.18,0.01,0.43,0.08,0.01,0.005,0.0264,0.044,0.01,1253,0.5,2,923,2
7835,31268.11398,773,196,0.12,0.5,0.61,0.016,0.014,11.64,0.18,0.01,0.43,0.08,0.01,0.005,0.0264,0.044,0.01,1253,0.5,2,923,2
16160,31511.147,773,176,0.12,0.5,0.61,0.016,0.014,11.64,0.18,0.01,0.43,0.08,0.01,0.005,0.0264,0.044,0.01,1253,0.5,2,923,2
25871,31669.12645,773,157,0.12,0.5,0.61,0.016,0.014,11.64,0.18,0.01,0.43,0.08,0.01,0.005,0.0264,0.044,0.01,1253,0.5,2,923,2
36220,31782.08898,773,137,0.12,0.5,0.61,0.016,0.014,11.64,0.18,0.01,0.43,0.08,0.01,0.005,0.0264,0.044,0.01,1253,0.5,2,923,2
70163,32004.06343,773,118,0.12,0.5,0.61,0.016,0.014,11.64,0.18,0.01,0.43,0.08,0.01,0.005,0.0264,0.044,0.01,1253,0.5,2,923,2
475,32288.7558,823,176,0.12,0.5,0.61,0.016,0.014,11.64,0.18,0.01,0.43,0.08,0.01,0.005,0.0264,0.044,0.01,1253,0.5,2,923,2
1012,32559.10052,823,157,0.12,0.5,0.61,0.016,0.014,11.64,0.18,0.01,0.43,0.08,0.01,0.005,0.0264,0.044,0.01,1253,0.5,2,923,2
2604,32896.90948,823,137,0.12,0.5,0.61,0.016,0.014,11.64,0.18,0.01,0.43,0.08,0.01,0.005,0.0264,0.044,0.01,1253,0.5,2,923,2
6239,33209.21659,823,118,0.12,0.5,0.61,0.016,0.014,11.64,0.18,0.01,0.43,0.08,0.01,0.005,0.0264,0.044,0.01,1253,0.5,2,923,2
6939,33247.2243,823,118,0.12,0.5,0.61,0.016,0.014,11.64,0.18,0.01,0.43,0.08,0.01,0.005,0.0264,0.044,0.01,1253,0.5,2,923,2
11798,33436.93526,823,98,0.12,0.5,0.61,0.016,0.014,11.64,0.18,0.01,0.43,0.08,0.01,0.005,0.0264,0.044,0.01,1253,0.5,2,923,2
15891,33543.38442,823,88,0.12,0.5,0.61,0.016,0.014,11.64,0.18,0.01,0.43,0.08,0.01,0.005,0.0264,0.044,0.01,1253,0.5,2,923,2
21484,33651.16772,823,78,0.12,0.5,0.61,0.016,0.014,11.64,0.18,0.01,0.43,0.08,0.01,0.005,0.0264,0.044,0.01,1253,0.5,2,923,2
57197,34001.15514,823,61,0.12,0.5,0.61,0.016,0.014,11.64,0.18,0.01,0.43,0.08,0.01,0.005,0.0264,0.044,0.01,1253,0.5,2,923,2
121369,34270.05766,823,47,0.12,0.5,0.61,0.016,0.014,11.64,0.18,0.01,0.43,0.08,0.01,0.005,0.0264,0.044,0.01,1253,0.5,2,923,2
171,33863.05769,873,118,0.12,0.5,0.61,0.016,0.014,11.64,0.18,0.01,0.43,0.08,0.01,0.005,0.0264,0.044,0.01,1253,0.5,2,923,2
422,34205.54985,873,98,0.12,0.5,0.61,0.016,0.014,11.64,0.18,0.01,0.43,0.08,0.01,0.005,0.0264,0.044,0.01,1253,0.5,2,923,2
1173,34593.14925,873,78,0.12,0.5,0.61,0.016,0.014,11.64,0.18,0.01,0.43,0.08,0.01,0.005,0.0264,0.044,0.01,1253,0.5,2,923,2
2460,34873.93843,873,61,0.12,0.5,0.61,0.016,0.014,11.64,0.18,0.01,0.43,0.08,0.01,0.005,0.0264,0.044,0.01,1253,0.5,2,923,2
4183,35075.21099,873,47,0.12,0.5,0.61,0.016,0.014,11.64,0.18,0.01,0.43,0.08,0.01,0.005,0.0264,0.044,0.01,1253,0.5,2,923,2
6316,35231.43806,873,41,0.12,0.5,0.61,0.016,0.014,11.64,0.18,0.01,0.43,0.08,0.01,0.005,0.0264,0.044,0.01,1253,0.5,2,923,2
192,28081.0335,723,373,0.13,0.36,0.65,0.015,0.011,11.69,0.19,0.01,0.38,0.03,0.01,0.005,0.027,0.016,0.01,1253,0.5,2,913,2
1301,28681.82919,723,333,0.13,0.36,0.65,0.015,0.011,11.69,0.19,0.01,0.38,0.03,0.01,0.005,0.027,0.016,0.01,1253,0.5,2,913,2
66867,29918.83487,723,265,0.13,0.36,0.65,0.015,0.011,11.69,0.19,0.01,0.38,0.03,0.01,0.005,0.027,0.016,0.01,1253,0.5,2,913,2
192607,30251.02461,723,235,0.13,0.36,0.65,0.015,0.011,11.69,0.19,0.01,0.38,0.03,0.01,0.005,0.027,0.016,0.01,1253,0.5,2,913,2
488,30336.17036,773,265,0.13,0.36,0.65,0.015,0.011,11.69,0.19,0.01,0.38,0.03,0.01,0.005,0.027,0.016,0.01,1253,0.5,2,913,2
2168,30836.79565,773,235,0.13,0.36,0.65,0.015,0.011,11.69,0.19,0.01,0.38,0.03,0.01,0.005,0.027,0.016,0.01,1253,0.5,2,913,2
5922,31174.13991,773,216,0.13,0.36,0.65,0.015,0.011,11.69,0.19,0.01,0.38,0.03,0.01,0.005,0.027,0.016,0.01,1253,0.5,2,913,2
48837,31882.42479,773,176,0.13,0.36,0.65,0.015,0.011,11.69,0.19,0.01,0.38,0.03,0.01,0.005,0.027,0.016,0.01,1253,0.5,2,913,2
684,32419.08813,823,176,0.13,0.36,0.65,0.015,0.011,11.69,0.19,0.01,0.38,0.03,0.01,0.005,0.027,0.016,0.01,1253,0.5,2,913,2
1818,32768.48272,823,157,0.13,0.36,0.65,0.015,0.011,11.69,0.19,0.01,0.38,0.03,0.01,0.005,0.027,0.016,0.01,1253,0.5,2,913,2
4868,33120.52648,823,137,0.13,0.36,0.65,0.015,0.011,11.69,0.19,0.01,0.38,0.03,0.01,0.005,0.027,0.016,0.01,1253,0.5,2,913,2
13758,33491.86797,823,118,0.13,0.36,0.65,0.015,0.011,11.69,0.19,0.01,0.38,0.03,0.01,0.005,0.027,0.016,0.01,1253,0.5,2,913,2
39708,33870.71356,823,98,0.13,0.36,0.65,0.015,0.011,11.69,0.19,0.01,0.38,0.03,0.01,0.005,0.027,0.016,0.01,1253,0.5,2,913,2
68809,34067.219,823,88,0.13,0.36,0.65,0.015,0.011,11.69,0.19,0.01,0.38,0.03,0.01,0.005,0.027,0.016,0.01,1253,0.5,2,913,2
116766,34256.23836,823,78,0.13,0.36,0.65,0.015,0.011,11.69,0.19,0.01,0.38,0.03,0.01,0.005,0.027,0.016,0.01,1253,0.5,2,913,2
398,34183.35001,873,118,0.13,0.36,0.65,0.015,0.011,11.69,0.19,0.01,0.38,0.03,0.01,0.005,0.027,0.016,0.01,1253,0.5,2,913,2
1150,34585.6413,873,98,0.13,0.36,0.65,0.015,0.011,11.69,0.19,0.01,0.38,0.03,0.01,0.005,0.027,0.016,0.01,1253,0.5,2,913,2
3894,35048.06775,873,78,0.13,0.36,0.65,0.015,0.011,11.69,0.19,0.01,0.38,0.03,0.01,0.005,0.027,0.016,0.01,1253,0.5,2,913,2
14062,35534.8972,873,61,0.13,0.36,0.65,0.015,0.011,11.69,0.19,0.01,0.38,0.03,0.01,0.005,0.027,0.016,0.01,1253,0.5,2,913,2
286,28206.15935,723,373,0.14,0.28,0.59,0.018,0.017,11.92,0.21,0.01,0.45,0.04,0.01,0.005,0.0303,0.007,0.01,1253,0.5,2,903,2
1172,28649.04137,723,333,0.14,0.28,0.59,0.018,0.017,11.92,0.21,0.01,0.45,0.04,0.01,0.005,0.0303,0.007,0.01,1253,0.5,2,903,2
47345,29810.4299,723,265,0.14,0.28,0.59,0.018,0.017,11.92,0.21,0.01,0.45,0.04,0.01,0.005,0.0303,0.007,0.01,1253,0.5,2,903,2
152931,30178.59698,723,235,0.14,0.28,0.59,0.018,0.017,11.92,0.21,0.01,0.45,0.04,0.01,0.005,0.0303,0.007,0.01,1253,0.5,2,903,2
254,30311.76398,778,265,0.14,0.28,0.59,0.018,0.017,11.92,0.21,0.01,0.45,0.04,0.01,0.005,0.0303,0.007,0.01,1253,0.5,2,903,2
1059,30794.1724,778,235,0.14,0.28,0.59,0.018,0.017,11.92,0.21,0.01,0.45,0.04,0.01,0.005,0.0303,0.007,0.01,1253,0.5,2,903,2
2839,31127.36602,778,216,0.14,0.28,0.59,0.018,0.017,11.92,0.21,0.01,0.45,0.04,0.01,0.005,0.0303,0.007,0.01,1253,0.5,2,903,2
7564,31458.47203,778,196,0.14,0.28,0.59,0.018,0.017,11.92,0.21,0.01,0.45,0.04,0.01,0.005,0.0303,0.007,0.01,1253,0.5,2,903,2
20418,31793.99361,778,176,0.14,0.28,0.59,0.018,0.017,11.92,0.21,0.01,0.45,0.04,0.01,0.005,0.0303,0.007,0.01,1253,0.5,2,903,2
58380,32148.95681,778,157,0.14,0.28,0.59,0.018,0.017,11.92,0.21,0.01,0.45,0.04,0.01,0.005,0.0303,0.007,0.01,1253,0.5,2,903,2
319,32146.45669,823,176,0.14,0.28,0.59,0.018,0.017,11.92,0.21,0.01,0.45,0.04,0.01,0.005,0.0303,0.007,0.01,1253,0.5,2,903,2
871,32505.4719,823,157,0.14,0.28,0.59,0.018,0.017,11.92,0.21,0.01,0.45,0.04,0.01,0.005,0.0303,0.007,0.01,1253,0.5,2,903,2
2168,32831.41374,823,137,0.14,0.28,0.59,0.018,0.017,11.92,0.21,0.01,0.45,0.04,0.01,0.005,0.0303,0.007,0.01,1253,0.5,2,903,2
5825,33184.67551,823,118,0.14,0.28,0.59,0.018,0.017,11.92,0.21,0.01,0.45,0.04,0.01,0.005,0.0303,0.007,0.01,1253,0.5,2,903,2
17233,33572.36197,823,98,0.14,0.28,0.59,0.018,0.017,11.92,0.21,0.01,0.45,0.04,0.01,0.005,0.0303,0.007,0.01,1253,0.5,2,903,2
31822,33791.58167,823,88,0.14,0.28,0.59,0.018,0.017,11.92,0.21,0.01,0.45,0.04,0.01,0.005,0.0303,0.007,0.01,1253,0.5,2,903,2
56088,33994.15693,823,78,0.14,0.28,0.59,0.018,0.017,11.92,0.21,0.01,0.45,0.04,0.01,0.005,0.0303,0.007,0.01,1253,0.5,2,903,2
170,33860.83399,873,118,0.14,0.28,0.59,0.018,0.017,11.92,0.21,0.01,0.45,0.04,0.01,0.005,0.0303,0.007,0.01,1253,0.5,2,903,2
464,34241.52228,873,98,0.14,0.28,0.59,0.018,0.017,11.92,0.21,0.01,0.45,0.04,0.01,0.005,0.0303,0.007,0.01,1253,0.5,2,903,2
1680,34729.34709,873,78,0.14,0.28,0.59,0.018,0.017,11.92,0.21,0.01,0.45,0.04,0.01,0.005,0.0303,0.007,0.01,1253,0.5,2,903,2
5653,35189.39164,873,61,0.14,0.28,0.59,0.018,0.017,11.92,0.21,0.01,0.45,0.04,0.01,0.005,0.0303,0.007,0.01,1253,0.5,2,903,2
21227,35691.02585,873,47,0.14,0.28,0.59,0.018,0.017,11.92,0.21,0.01,0.45,0.04,0.01,0.005,0.0303,0.007,0.01,1253,0.5,2,903,2
194,30026.49257,773,470,0.2,0.5,0.59,0.021,0.007,11,1.1,1.07,0.78,0.09,0.21,0.005,0.015,0.03,0.01,1303,0.67,2,903,3
1040,30590.1886,773,431,0.2,0.5,0.59,0.021,0.007,11,1.1,1.07,0.78,0.09,0.21,0.005,0.015,0.03,0.01,1303,0.67,2,903,3
2834,30926.72691,773,412,0.2,0.5,0.59,0.021,0.007,11,1.1,1.07,0.78,0.09,0.21,0.005,0.015,0.03,0.01,1303,0.67,2,903,3
8075,31278.24301,773,372,0.2,0.5,0.59,0.021,0.007,11,1.1,1.07,0.78,0.09,0.21,0.005,0.015,0.03,0.01,1303,0.67,2,903,3
12781,31432.39645,773,333,0.2,0.5,0.59,0.021,0.007,11,1.1,1.07,0.78,0.09,0.21,0.005,0.015,0.03,0.01,1303,0.67,2,903,3
20494,31590.9093,773,294,0.2,0.5,0.59,0.021,0.007,11,1.1,1.07,0.78,0.09,0.21,0.005,0.015,0.03,0.01,1303,0.67,2,903,3
107,31756.01981,823,372,0.2,0.5,0.59,0.021,0.007,11,1.1,1.07,0.78,0.09,0.21,0.005,0.015,0.03,0.01,1303,0.67,2,903,3
929,32528.51389,823,333,0.2,0.5,0.59,0.021,0.007,11,1.1,1.07,0.78,0.09,0.21,0.005,0.015,0.03,0.01,1303,0.67,2,903,3
3630,33015.64011,823,294,0.2,0.5,0.59,0.021,0.007,11,1.1,1.07,0.78,0.09,0.21,0.005,0.015,0.03,0.01,1303,0.67,2,903,3
6966,33248.61235,823,265,0.2,0.5,0.59,0.021,0.007,11,1.1,1.07,0.78,0.09,0.21,0.005,0.015,0.03,0.01,1303,0.67,2,903,3
11405,33424.82638,823,235,0.2,0.5,0.59,0.021,0.007,11,1.1,1.07,0.78,0.09,0.21,0.005,0.015,0.03,0.01,1303,0.67,2,903,3
13205,33477.20467,823,216,0.2,0.5,0.59,0.021,0.007,11,1.1,1.07,0.78,0.09,0.21,0.005,0.015,0.03,0.01,1303,0.67,2,903,3
17237,33572.44492,823,196,0.2,0.5,0.59,0.021,0.007,11,1.1,1.07,0.78,0.09,0.21,0.005,0.015,0.03,0.01,1303,0.67,2,903,3
22062,33660.65669,823,177,0.2,0.5,0.59,0.021,0.007,11,1.1,1.07,0.78,0.09,0.21,0.005,0.015,0.03,0.01,1303,0.67,2,903,3
47,33373.39351,873,294,0.2,0.5,0.59,0.021,0.007,11,1.1,1.07,0.78,0.09,0.21,0.005,0.015,0.03,0.01,1303,0.67,2,903,3
690,34391.96734,873,216,0.2,0.5,0.59,0.021,0.007,11,1.1,1.07,0.78,0.09,0.21,0.005,0.015,0.03,0.01,1303,0.67,2,903,3
2287,34846.29144,873,157,0.2,0.5,0.59,0.021,0.007,11,1.1,1.07,0.78,0.09,0.21,0.005,0.015,0.03,0.01,1303,0.67,2,903,3
38945,35921.11642,873,69,0.2,0.5,0.59,0.021,0.007,11,1.1,1.07,0.78,0.09,0.21,0.005,0.015,0.03,0.01,1303,0.67,2,903,3
86,35527.00928,923,137,0.2,0.5,0.59,0.021,0.007,11,1.1,1.07,0.78,0.09,0.21,0.005,0.015,0.03,0.01,1303,0.67,2,903,3
